twp90_pct,x1_bi_rate_pct,x2_inflasi_yoy,bi_rate_lag_1,bi_rate_lag_3,inflasi_lag_1,inflasi_lag_3,inflasi_mom,twp90_lag_1,twp90_lag_2,twp90_lag_3,twp90_lag_6,twp90_lag_12,twp90_roll3_mean,twp90_roll3_std,twp90_mom,log_pdrb,x4_tpt_pct,x5_penetrasi_internet_pct,x6_tabungan_miliar,x7_jumlah_kc_bank,x8_ldr_pct,x9_npl_ratio,x10_rasio_umkm,log_pdrb_x_month,x5_penetrasi_internet_pct_x_month,x8_ldr_pct_x_month,x9_npl_ratio_x_month,x10_rasio_umkm_x_month,provinsi_id,bulan_sin,bulan_cos,time_trend,nama_provinsi,tahun,bulan
0.024,6.0,0.0259,6.0,6.0,0.00437,0.0013,0.02153,0.0234,0.0219,0.0222,0.0489,0.0236,0.0231,0.0010816653826390876,0.0005999999999999998,18.067940904467083,7.52,0.8455,268171.77,96.0,0.7943,0.0232,0.2826,1.5056617420389236,0.07045833333333333,0.06619166666666666,0.0019333333333333331,0.02355,1,0.49999999999999994,0.8660254037844387,25,Banten,2024,1
0.0261,6.0,0.0281,6.0,6.0,0.0259,0.00523,0.0022000000000000006,0.024,0.0234,0.0219,0.0229,0.0217,0.024499999999999997,0.001417744687875711,0.002100000000000001,18.067940904467083,7.02,0.8455,268171.77,96.0,0.7943,0.0232,0.2826,3.011323484077847,0.14091666666666666,0.13238333333333333,0.0038666666666666663,0.0471,1,0.8660254037844386,0.5000000000000001,26,Banten,2024,2
0.0266,6.0,0.0342,6.0,6.0,0.0281,0.00437,0.006100000000000001,0.0261,0.024,0.0234,0.0216,0.022,0.025566666666666665,0.00137961347243826,0.000499999999999997,18.067940904467083,7.02,0.8455,268171.77,96.0,0.7943,0.0232,0.2826,4.516985226116771,0.211375,0.198575,0.0058,0.07065,1,1.0,6.123233995736766e-17,27,Banten,2024,3
0.0237,6.25,0.0342,6.0,6.0,0.0342,0.0259,0.0,0.0266,0.0261,0.024,0.0222,0.0226,0.025466666666666665,0.0015502687938977388,-0.0029,18.067940904467083,7.02,0.8455,268171.77,96.0,0.7943,0.0232,0.2826,6.022646968155694,0.2818333333333333,0.26476666666666665,0.0077333333333333325,0.0942,1,0.8660254037844387,-0.4999999999999998,28,Banten,2024,4
0.0246,6.25,0.0286,6.25,6.0,0.0342,0.0281,-0.005600000000000001,0.0237,0.0266,0.0261,0.0219,0.0484,0.024966666666666665,0.0014843629385474194,0.0009000000000000015,18.067940904467083,7.02,0.8455,268171.77,96.0,0.7943,0.0232,0.2826,7.528308710194618,0.35229166666666667,0.33095833333333335,0.009666666666666667,0.11775000000000001,1,0.49999999999999994,-0.8660254037844387,29,Banten,2024,5
0.0236,6.25,0.0249,6.25,6.0,0.0286,0.0342,-0.003700000000000002,0.0246,0.0237,0.0266,0.0234,0.0513,0.023966666666666664,0.0005507570547283978,-0.0010000000000000009,18.067940904467083,7.02,0.8455,268171.77,96.0,0.7943,0.0232,0.2826,9.033970452233541,0.42275,0.39715,0.0116,0.1413,1,1.2246467991473532e-16,-1.0,30,Banten,2024,6
0.0203,6.25,0.023,6.25,6.25,0.0249,0.0342,-0.001899999999999999,0.0236,0.0246,0.0237,0.024,0.0489,0.02283333333333333,0.0022501851775649645,-0.003300000000000001,18.067940904467083,7.02,0.8455,268171.77,96.0,0.7943,0.0232,0.2826,10.539632194272466,0.49320833333333336,0.4633416666666667,0.013533333333333333,0.16485000000000002,1,-0.4999999999999997,-0.8660254037844388,31,Banten,2024,7
0.0189,6.25,0.0245,6.25,6.25,0.023,0.0286,0.0015000000000000013,0.0203,0.0236,0.0246,0.0261,0.0229,0.02093333333333333,0.0024131583730317013,-0.0013999999999999985,18.067940904467083,6.68,0.8455,268171.77,96.0,0.7943,0.0232,0.2826,12.045293936311388,0.5636666666666666,0.5295333333333333,0.015466666666666665,0.1884,1,-0.8660254037844385,-0.5000000000000004,32,Banten,2024,8
0.0194,6.0,0.0203,6.25,6.25,0.0245,0.0249,-0.004200000000000002,0.0189,0.0203,0.0236,0.0266,0.0216,0.019533333333333333,0.0007094598884594947,0.0005000000000000004,18.067940904467083,6.68,0.8455,268171.77,96.0,0.7943,0.0232,0.2826,13.550955678350313,0.634125,0.5957250000000001,0.0174,0.21195000000000003,1,-1.0,-1.8369701987210297e-16,33,Banten,2024,9
0.019,6.0,0.0194,6.0,6.25,0.0203,0.023,-0.000899999999999998,0.0194,0.0189,0.0203,0.0237,0.0222,0.0191,0.00026457513110572997,-0.00040000000000000105,18.067940904467083,6.68,0.8455,268171.77,96.0,0.7943,0.0232,0.2826,15.056617420389236,0.7045833333333333,0.6619166666666667,0.019333333333333334,0.23550000000000001,1,-0.8660254037844386,0.5000000000000001,34,Banten,2024,10
