model,rmse,mae,r2
XGBoost (Train),0.0022129785387839263,0.0015075765394245186,0.9543105379377487
XGBoost (Test),0.006242187393689534,0.002766493333371416,0.6663137564944785
Naive (Random Walk),0.004923326089641659,0.0020118279569892473,0.792421723580673
