,n,rmse,mae,r2
XGBoost (Train),744,0.001846227617730435,0.0009305398819928046,0.9681996333755857
XGBoost (Test),372,0.005437224963452485,0.0016195376597745446,0.7468258837503654
Naive y=y_{t-1} (Test),372,0.004923326089641659,0.0020118279569892473,0.792421723580673
