provinsi_id,nama_provinsi,twp90_2025,Baseline,Optimistic_Recovery,Stress_NPL_Up
1,Banten,0.0241166666666666,0.024740510832710484,0.02682244689914792,0.021856285721486894
2,Dki Jakarta,0.0466833333333333,0.047307177499377184,0.04938911356581462,0.044422952388153594
3,Jawa Barat,0.0335833333333333,0.034207177499377184,0.03628911356581462,0.031322952388153594
4,Jawa Tengah,0.0282416666666666,0.028865510832710484,0.03094744689914792,0.025981285721486894
5,Daerah Istimewa Yogyakarta,0.0286249999999999,0.029248844166043786,0.031330780232481224,0.026364619054820196
6,Jawa Timur,0.0340666666666666,0.034690510832710485,0.03677244689914792,0.031806285721486895
7,Aceh,0.01025,0.010873844166043888,0.012955780232481322,0.007989619054820296
8,Sumatera Utara,0.018375,0.018998844166043884,0.02108078023248132,0.016114619054820294
9,Sumatera Barat,0.0261083333333333,0.026732177499377185,0.02881411356581462,0.023847952388153595
10,Riau,0.017275,0.017898844166043884,0.01998078023248132,0.015014619054820294
11,Kepulauan Riau,0.0172499999999999,0.017873844166043786,0.01995578023248122,0.014989619054820196
12,Kepulauan Bangka Belitung,0.01745,0.018073844166043886,0.02015578023248132,0.015189619054820296
13,Jambi,0.0208499999999999,0.021473844166043785,0.02355578023248122,0.018589619054820195
14,Sumatera Selatan,0.0285166666666666,0.029140510832710485,0.03122244689914792,0.026256285721486895
15,Bengkulu,0.0194,0.020023844166043886,0.02210578023248132,0.017139619054820296
16,Lampung,0.02775,0.028373844166043886,0.03045578023248132,0.025489619054820296
17,Kalimantan Barat,0.0166083333333333,0.017232177499377187,0.01931411356581462,0.014347952388153597
18,Kalimantan Tengah,0.0178833333333333,0.018507177499377185,0.02058911356581462,0.015622952388153595
20,Kalimantan Timur,0.018125,0.018748844166043884,0.02083078023248132,0.015864619054820294
21,Kalimantan Selatan,0.0218416666666666,0.022465510832710485,0.02454744689914792,0.019581285721486895
22,Sulawesi Utara,0.0181833333333333,0.018807177499377187,0.02088911356581462,0.015922952388153597
23,Gorontalo,0.0159583333333333,0.016582177499377185,0.01866411356581462,0.013697952388153595
24,Sulawesi Tengah,0.016375,0.016998844166043886,0.01908078023248132,0.014114619054820296
25,Sulawesi Barat,0.0126249999999999,0.013248844166043787,0.015330780232481222,0.010364619054820196
26,Sulawesi Selatan,0.0168583333333333,0.017482177499377187,0.019564113565814622,0.014597952388153597
27,Sulawesi Tenggara,0.0148083333333333,0.015432177499377187,0.017514113565814622,0.012547952388153595
28,Bali,0.0153916666666666,0.016015510832710488,0.018097446899147922,0.013131285721486896
29,Nusa Tenggara Barat,0.0404083333333333,0.04103217749937719,0.04311411356581463,0.0381479523881536
30,Nusa Tenggara Timur,0.0155333333333333,0.016157177499377187,0.018239113565814622,0.013272952388153595
31,Maluku Utara,0.0078999999999999,0.008523844166043787,0.010605780232481222,0.0056396190548201955
32,Maluku,0.0087499999999999,0.009373844166043787,0.011455780232481222,0.0064896190548201955
