provinsi_id,nama_provinsi,tahun,twp90_avg,twp90_std,twp90_max,twp90_min,x1_bi_rate_avg,x2_inflasi_avg,x2_inflasi_std,x3_pdrb,x4_tpt,x5_internet,x6_tabungan,x7_kc_bank,x8_ldr,x9_npl,x10_umkm,log_pdrb,log_tabungan,log_kc_bank,twp90_avg_lag1,x1_bi_rate_avg_lag1,x2_inflasi_avg_lag1,x9_npl_lag1,x8_ldr_lag1,log_pdrb_lag1,delta_twp90,delta_npl,delta_pdrb_pct
1,Banten,2022,0.02514166666666667,0.00239979481446126,0.0287,0.0217,4.0,0.004791666666666667,0.004956248275631172,61414000.0,8.309999999999999,0.81,236586.03,96.0,0.7703,0.0202,0.2979,17.9331483964386,12.374071410765183,4.574710978503383,,,,,,,,,
1,Banten,2023,0.029208333333333333,0.012290162979415938,0.0513,0.0216,5.8125,0.0024116666666666666,0.002024431832002313,66147000.0,7.744999999999999,0.891,246873.64,94.0,0.7934,0.0173,0.2995,18.00739011114075,12.416635956408612,4.553876891600541,0.02514166666666667,4.0,0.004791666666666667,0.0202,0.7703,17.9331483964386,0.004066666666666663,-0.0029,0.0770671182466538
1,Banten,2024,0.022291666666666668,0.00278745838398069,0.0266,0.0189,6.104166666666667,0.025075,0.005433419315177639,70276000.0,6.85,0.8455,268171.77,96.0,0.7943,0.0232,0.2826,18.067940918696692,12.499386715965409,4.574710978503383,0.029208333333333333,5.8125,0.0024116666666666666,0.0173,0.7934,18.00739011114075,-0.006916666666666665,0.005899999999999999,0.062421576186372674
1,Banten,2025,0.024116666666666665,0.0028985367259214,0.0274,0.0199,5.291666666666667,0.01734166666666667,0.0093330749423107,74673000.0,6.665,0.8399,268278.77,97.0,0.7998,0.0281,0.2756,18.128629152374362,12.499785632900052,4.584967478670572,0.022291666666666668,6.104166666666667,0.025075,0.0232,0.7943,18.067940918696692,0.0018249999999999968,0.004900000000000002,0.06256759064260908
2,Dki Jakarta,2022,0.025491666666666666,0.004145415503537576,0.0336,0.0205,4.0,0.0034583333333333337,0.0039046495206084605,299675000.0,7.59,0.834,3393358.58,451.0,0.9222,0.0217,0.0461,19.518209115394384,15.037331015162694,6.113682179832232,,,,,,,,,
2,Dki Jakarta,2023,0.029475,0.0016944427885403404,0.0323,0.0273,5.8125,0.0018916666666666665,0.0017676169542549926,322651000.0,7.050000000000001,0.8696,3467900.74,446.0,1.0211,0.0185,0.0424,19.59208180477429,15.05906028314784,6.102558594613569,0.025491666666666666,4.0,0.0034583333333333337,0.0217,0.9222,19.518209115394384,0.003983333333333335,-0.0032000000000000015,0.07666972553599738
2,Dki Jakarta,2024,0.031241666666666668,0.002811488875483893,0.0356,0.0266,6.104166666666667,0.019033333333333333,0.0026102362600602526,344383000.0,6.12,0.8751,3579123.95,447.0,1.1058,0.0172,0.0392,19.657264970995392,15.090628901125342,6.104793232414985,0.029475,5.8125,0.0018916666666666665,0.0185,1.0211,19.59208180477429,0.0017666666666666664,-0.001299999999999999,0.06735450998137305
2,Dki Jakarta,2025,0.046683333333333334,0.032341806137605,0.1158,0.0287,5.291666666666667,0.0181,0.01058248982560772,367687000.0,6.115,0.9135,3893790.76,450.0,1.0624,0.0158,0.0372,19.722742593457312,15.174893986340004,6.111467339502679,0.031241666666666668,6.104166666666667,0.019033333333333333,0.0172,1.1058,19.657264970995392,0.015441666666666666,-0.0013999999999999985,0.06766884544242902
3,Jawa Barat,2022,0.030016666666666667,0.003775960644376314,0.0359,0.026,4.0,0.004833333333333333,0.003941527930161402,49137000.0,8.33,0.824,588747.81,375.0,0.9226,0.0304,0.3409,17.710122893483888,13.2857549030793,5.929589143389895,,,,,,,,,
3,Jawa Barat,2023,0.036975,0.0021273649941140373,0.0414,0.033,5.8125,0.0021608333333333336,0.001901307962876338,52651000.0,7.665,0.8273,609314.93,371.0,0.9474,0.0299,0.3334,17.779195808709204,13.320092180651095,5.918893854273146,0.030016666666666667,4.0,0.004833333333333333,0.0304,0.9226,17.710122893483888,0.006958333333333334,-0.0005000000000000004,0.07151433746463964
3,Jawa Barat,2024,0.033825,0.004281699959765343,0.0396,0.0286,6.104166666666667,0.024816666666666667,0.006030352519973563,56082000.0,6.83,0.8552,635255.39,372.0,0.9761,0.0311,0.311,17.84232548122381,13.361783960163695,5.921578419643816,0.036975,5.8125,0.0021608333333333336,0.0299,0.9474,17.779195808709204,-0.00315,0.0011999999999999997,0.06516495413192525
3,Jawa Barat,2025,0.03358333333333333,0.0025650920002403357,0.0396,0.0305,5.291666666666667,0.0167,0.008707259249405845,59865000.0,6.755,0.8652,640716.9,371.0,0.9799,0.0397,0.3024,17.907602601837333,13.37034454542945,5.918893854273146,0.033825,6.104166666666667,0.024816666666666667,0.0311,0.9761,17.84232548122381,-0.0002416666666666678,0.0086,0.0674547983310152
