model,n,rmse,mae,r2
Panel FE OLS (Train),62,0.0035597934217066625,0.002197121482183873,0.8158851634348485
Panel FE OLS (Test),62,0.07836220932897858,0.07625055059900396,-75.0015270682995
Naive (Province Mean),62,0.005574640008387834,0.004236962365591399,0.6153704654687342
