provinsi_id,nama_provinsi,twp90_2025,scenario,delta_pred,twp90_2026_pred,pct_change
1,Banten,0.0241166666666666,Baseline,0.0006238441660438867,0.024740510832710484,2.59
2,Dki Jakarta,0.0466833333333333,Baseline,0.0006238441660438867,0.047307177499377184,1.34
3,Jawa Barat,0.0335833333333333,Baseline,0.0006238441660438867,0.034207177499377184,1.86
4,Jawa Tengah,0.0282416666666666,Baseline,0.0006238441660438867,0.028865510832710484,2.21
5,Daerah Istimewa Yogyakarta,0.0286249999999999,Baseline,0.0006238441660438867,0.029248844166043786,2.18
6,Jawa Timur,0.0340666666666666,Baseline,0.0006238441660438867,0.034690510832710485,1.83
7,Aceh,0.01025,Baseline,0.0006238441660438867,0.010873844166043888,6.09
8,Sumatera Utara,0.018375,Baseline,0.0006238441660438867,0.018998844166043884,3.4
9,Sumatera Barat,0.0261083333333333,Baseline,0.0006238441660438867,0.026732177499377185,2.39
10,Riau,0.017275,Baseline,0.0006238441660438867,0.017898844166043884,3.61
11,Kepulauan Riau,0.0172499999999999,Baseline,0.0006238441660438867,0.017873844166043786,3.62
12,Kepulauan Bangka Belitung,0.01745,Baseline,0.0006238441660438867,0.018073844166043886,3.58
13,Jambi,0.0208499999999999,Baseline,0.0006238441660438867,0.021473844166043785,2.99
14,Sumatera Selatan,0.0285166666666666,Baseline,0.0006238441660438867,0.029140510832710485,2.19
15,Bengkulu,0.0194,Baseline,0.0006238441660438867,0.020023844166043886,3.22
16,Lampung,0.02775,Baseline,0.0006238441660438867,0.028373844166043886,2.25
17,Kalimantan Barat,0.0166083333333333,Baseline,0.0006238441660438867,0.017232177499377187,3.76
18,Kalimantan Tengah,0.0178833333333333,Baseline,0.0006238441660438867,0.018507177499377185,3.49
20,Kalimantan Timur,0.018125,Baseline,0.0006238441660438867,0.018748844166043884,3.44
21,Kalimantan Selatan,0.0218416666666666,Baseline,0.0006238441660438867,0.022465510832710485,2.86
22,Sulawesi Utara,0.0181833333333333,Baseline,0.0006238441660438867,0.018807177499377187,3.43
23,Gorontalo,0.0159583333333333,Baseline,0.0006238441660438867,0.016582177499377185,3.91
24,Sulawesi Tengah,0.016375,Baseline,0.0006238441660438867,0.016998844166043886,3.81
25,Sulawesi Barat,0.0126249999999999,Baseline,0.0006238441660438867,0.013248844166043787,4.94
26,Sulawesi Selatan,0.0168583333333333,Baseline,0.0006238441660438867,0.017482177499377187,3.7
27,Sulawesi Tenggara,0.0148083333333333,Baseline,0.0006238441660438867,0.015432177499377187,4.21
28,Bali,0.0153916666666666,Baseline,0.0006238441660438867,0.016015510832710488,4.05
29,Nusa Tenggara Barat,0.0404083333333333,Baseline,0.0006238441660438867,0.04103217749937719,1.54
30,Nusa Tenggara Timur,0.0155333333333333,Baseline,0.0006238441660438867,0.016157177499377187,4.02
31,Maluku Utara,0.0078999999999999,Baseline,0.0006238441660438867,0.008523844166043787,7.9
32,Maluku,0.0087499999999999,Baseline,0.0006238441660438867,0.009373844166043787,7.13
1,Banten,0.0241166666666666,Stress_NPL_Up,-0.0022603809451797047,0.021856285721486894,-9.37
2,Dki Jakarta,0.0466833333333333,Stress_NPL_Up,-0.0022603809451797047,0.044422952388153594,-4.84
3,Jawa Barat,0.0335833333333333,Stress_NPL_Up,-0.0022603809451797047,0.031322952388153594,-6.73
4,Jawa Tengah,0.0282416666666666,Stress_NPL_Up,-0.0022603809451797047,0.025981285721486894,-8.0
5,Daerah Istimewa Yogyakarta,0.0286249999999999,Stress_NPL_Up,-0.0022603809451797047,0.026364619054820196,-7.9
6,Jawa Timur,0.0340666666666666,Stress_NPL_Up,-0.0022603809451797047,0.031806285721486895,-6.64
7,Aceh,0.01025,Stress_NPL_Up,-0.0022603809451797047,0.007989619054820296,-22.05
8,Sumatera Utara,0.018375,Stress_NPL_Up,-0.0022603809451797047,0.016114619054820294,-12.3
9,Sumatera Barat,0.0261083333333333,Stress_NPL_Up,-0.0022603809451797047,0.023847952388153595,-8.66
10,Riau,0.017275,Stress_NPL_Up,-0.0022603809451797047,0.015014619054820294,-13.08
11,Kepulauan Riau,0.0172499999999999,Stress_NPL_Up,-0.0022603809451797047,0.014989619054820196,-13.1
12,Kepulauan Bangka Belitung,0.01745,Stress_NPL_Up,-0.0022603809451797047,0.015189619054820296,-12.95
13,Jambi,0.0208499999999999,Stress_NPL_Up,-0.0022603809451797047,0.018589619054820195,-10.84
14,Sumatera Selatan,0.0285166666666666,Stress_NPL_Up,-0.0022603809451797047,0.026256285721486895,-7.93
15,Bengkulu,0.0194,Stress_NPL_Up,-0.0022603809451797047,0.017139619054820296,-11.65
16,Lampung,0.02775,Stress_NPL_Up,-0.0022603809451797047,0.025489619054820296,-8.15
17,Kalimantan Barat,0.0166083333333333,Stress_NPL_Up,-0.0022603809451797047,0.014347952388153597,-13.61
18,Kalimantan Tengah,0.0178833333333333,Stress_NPL_Up,-0.0022603809451797047,0.015622952388153595,-12.64
20,Kalimantan Timur,0.018125,Stress_NPL_Up,-0.0022603809451797047,0.015864619054820294,-12.47
